product,tier,keyword,search_volume,cpc,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,trend_12m
A2,V,ai development company dubai,30,,LOW,16,7.23,9.53,70 70 110 50 0 0 0 0 0 0 0
A2,V,ai solutions dubai,,,,,,,
A2,V,ai agents dubai,70,3.82,MEDIUM,59,2.16,8.48,90 70 70 50 70 40 50 90 90 70 90
A2,V,ai agent development dubai,,,,,,,
A2,V,hire ai developer dubai,,,,,,,
A2,V,automation agency dubai,,,,,,,
A2,V,ai integration dubai,,,,,,,
A2,V,ai consulting companies in dubai,,,,,,,
A3,V,custom gpt dubai,,,,,,,
A3,S,chatgpt for business uae,,,,,,,
A3,V,ai training dubai,40,2.86,HIGH,76,1.34,4.61,90 40 40 50 70 50 30 20 30 30 30
A3,V,ai training for employees dubai,,,,,,,
R,S,real estate crm dubai,140,15.02,LOW,26,4.66,14.18,210 140 70 170 170 210 170 110 110 210 90
R,V,real estate automation dubai,,,,,,,
R,P,ai for real estate dubai,,,,,,,
R,S,property management software dubai,50,,LOW,31,3.46,11.05,90 30 90 70 70 50 40 40 90 40 30
R,V,real estate chatbot dubai,,,,,,,
R,P,off plan leads dubai,,,,,,,
R,S,real estate whatsapp crm,,,,,,,
